borehole_id,x,y,z,depth,lithology,water_level,dip_angle_rad,compressive_strength,remark
BH-001,500000.0,3400000.0,108.2,32,中风化砂岩,96.5,0.4363323129985824,118,已复核
BH-002,500012.5,3400008.0,108.55,35,中风化砂岩,96.72,0.5235987755982988,122,已复核
BH-003,500025.0,3400016.0,108.9,38,中风化砂岩,98.26,0.6108652381980153,125,已复核
BH-004,500037.5,3400024.0,109.25,41,中风化砂岩,97.16,0.6981317007977318,130,已复核
BH-005,500050.0,3400032.0,109.60000000000001,44,中风化砂岩,97.38,0.7853981633974483,128,已复核
BH-006,500062.5,3400040.0,109.95,48,中风化砂岩,97.6,0.8726646259971648,135,已复核
BH-007,500075.0,3400048.0,110.3,52,中风化砂岩,98.26,0.9599310885968813,140,已复核
BH-008,500087.5,3400056.0,110.65,55,中风化砂岩,98.04,0.4363323129985824,138,已复核
BH-009,500100.0,3400064.0,111.0,58,中风化砂岩,98.26,0.5235987755982988,142,已复核
BH-010,500112.5,3400072.0,111.35000000000001,61,强风化泥岩,98.48,0.6108652381980153,145,已复核
BH-011,500125.0,3400080.0,111.7,64,中风化砂岩,98.7,0.6981317007977318,150,已复核
BH-012,500137.5,3400088.0,112.05,68,强风化泥岩,98.92,0.7853981633974483,148,已复核
BH-013,500150.0,3400096.0,112.4,72,强风化泥岩,98.26,0.8726646259971648,152,已复核
BH-014,500162.5,3400104.0,112.75,76,中风化砂岩,99.36,0.9599310885968813,155,已复核
BH-015,500175.0,3400112.0,113.10000000000001,80,强风化泥岩,99.58,0.4363323129985824,158,已复核
BH-016,500187.5,3400120.0,113.45,118.7692,强风化泥岩,99.8,0.5235987755982988,162,已复核
